Question Number ,Title,Questions,Option-1,Option-2,Název,Otázky,Option-1,Option-2
1,Enforcement of EU laws and values,The EU should continue to stop funding member states that violate the rule of law.,Agree        ,Disagree,Vymáhání práva a hodnot v EU,"EU by měla nadále zastavovat financování členským státům, které porušují principy právního státu.",ANO,NE
2,Assistance to Ukraine,The EU should finance more weapons for Ukraine.,Agree        ,Disagree,Pomoc Ukrajině,EU by měla financovat více zbraní pro Ukrajinu.,ANO,NE
3,Higher CO2 taxes,Companies should pay more for their CO2 emissions.,Agree        ,Disagree,Vyšší daně CO2,Firmy by měly platit více za své emise CO2.,ANO,NE
4,Abolition of unanimity principle,"The EU should abolish the principle of unanimity (give up the right of veto) in foreign, defense, and security policy.",Agree        ,Disagree,Zrušení zásady jednomyslnosti,"EU by měla zrušit zásadu jednomyslnosti (upustit od práva veta) v zahraniční, obranné a bezpečnostní politice.",ANO,NE
5,Fight against disinformation,Social networks should decide for themselves how to deal with disinformation spread on their platforms.,Agree        ,Disagree,Boj s dezinformacemi,"Měly by sociální sítě samy rozhodovat, jak nakládat s dezinformacemi, které se šíří na jejich platformách?",ANO,NE
6,Budget deficit,The EU should allow member states to have a higher budget deficit.,Agree        ,Disagree,Rozpočtová pravidla,EU by měla povolit členským státům mít vyšší rozpočtový schodek.,ANO,NE
7,Development aid and immigration,The EU should limit development aid to countries that refuse to take back rejected asylum seekers.,Agree        ,Disagree,Rozvojová pomoc a imigrace,"EU by měla omezit rozvojovou pomoc zemím, které nechtějí přijímat zpět zamítnuté žadatele o azyl.",ANO,NE
8,Same-sex marriage ban,The ban on same-sex marriage should be abolished in all EU countries.,Agree        ,Disagree,Zrušení zákazu stejnopohlavního manželství,"Souhlasíte s tím, aby se ve všech zemích EU zrušil zákaz manželství pro osoby stejného pohlaví?",ANO,NE
9,More funding for rural healthcare,The EU should provide more money for healthcare in rural areas.,Agree        ,Disagree,Více peněz na zdravotní péči na venkově,EU by měla poskytovat více peněz na zdravotní péči na venkově.,ANO,NE
10,Public service media,The EU should continue to actively be interested in how public service media operate in member states.,Agree        ,Disagree,Veřejnoprávní média,EU by se měla i nadále aktivně zajímat o způsob fungování veřejnoprávních médií v členských státech.,ANO,NE
11,Rules for state aid to industry,Should the EU tighten rules for state aid to industry?,Agree        ,Disagree,Pravidla státní podpory průmyslu,Měla by EU zpřísnit pravidla pro státní podporu průmyslu?,ANO,NE
12,EU budget for weapons development,Should the development of weapons be financed from the EU budget?,Agree        ,Disagree,EU rozpočet na vývoj zbraní,Měl by se z rozpočtu EU financovat vývoj zbraní?,ANO,NE
13,Fund for border defense,Should there be a special fund for building defensive fortifications on the EU’s external borders?,Agree        ,Disagree,Fond na obranu hranic,Měl by existovat speciální fond na budování obranných opevnění na vnějších hranicích EU?,ANO,NE
14,New European taxes,Do you support introducing new European taxes to finance the EU budget?,Agree        ,Disagree,Evropské daně,Podporujete zavedení nových evropských daní pro financování rozpočtu EU?,ANO,NE
15,Financing the transition to renewable energy,Should the EU finance the transition of poorer households to renewable energy sources?,Agree        ,Disagree,Podpora přechodu na OZE,Má EU financovat přechod chudších domácností na obnovitelné zdroje energie?,ANO,NE
16,Support for kindergartens and childcare groups,Should the EU support the development of kindergartens and childcare groups?,Agree        ,Disagree,Podpora dětských služeb,Měla by EU podporovat rozvoj školek a dětských skupin?,ANO,NE
17,Financing retraining programs,Should the EU finance programs for retraining workers?,Agree        ,Disagree,Podpora rekvalifikací,Měla by EU financovat programy na rekvalifikaci pracujících?,ANO,NE
18,Adding EU-related topics to school curricula,Should school curricula be supplemented with topics related to the EU?,Agree        ,Disagree,Změna školních osnov,Školní osnovy by měly být doplněny o témata související s EU.,ANO,NE
19,Ban on glyphosate pesticides,Should the EU completely ban pesticides containing glyphosate?,Agree        ,Disagree,Regulace pesticidů,EU by měla úplně zakázat pesticidy obsahující glyfosát.,ANO,NE
20,Stop subsidies for intensive livestock farming,Should the EU stop subsidizing intensive livestock farming?,Agree        ,Disagree,Společná zemědělská politika,EU by měla přestat dotovat intenzivní chov hospodářských zvířat.,ANO,NE
