Title,Questions,Option-1,Option-2,Option-3
Enforcement of EU laws and values,The EU should continue to stop funding member states that violate the rule of law.,Agree,Neutral,Disagree
Assistance to Ukraine,The EU should finance more weapons for Ukraine.,Agree,Neutral,Disagree
Higher CO2 taxes,Companies should pay more for their CO2 emissions.,Agree,Neutral,Disagree
Abolition of unanimity principle,"The EU should abolish the principle of unanimity (give up the right of veto) in foreign, defense, and security policy.",Agree,Neutral,Disagree
Fight against disinformation,Social networks should decide for themselves how to deal with disinformation spread on their platforms.,Agree,Neutral,Disagree
Budget deficit,The EU should allow member states to have a higher budget deficit.,Agree,Neutral,Disagree
Development aid and immigration,The EU should limit development aid to countries that refuse to take back rejected asylum seekers.,Agree,Neutral,Disagree
Same-sex marriage ban,The ban on same-sex marriage should be abolished in all EU countries.,Agree,Neutral,Disagree
More funding for rural healthcare,The EU should provide more money for healthcare in rural areas.,Agree,Neutral,Disagree
Public service media,The EU should continue to actively be interested in how public service media operate in member states.,Agree,Neutral,Disagree
Rules for state aid to industry,Should the EU tighten rules for state aid to industry?,Agree,Neutral,Disagree
EU budget for weapons development,Should the development of weapons be financed from the EU budget?,Agree,Neutral,Disagree
Fund for border defense,Should there be a special fund for building defensive fortifications on the EU's external borders?,Agree,Neutral,Disagree
New European taxes,Do you support introducing new European taxes to finance the EU budget?,Agree,Neutral,Disagree
Financing the transition to renewable energy,Should the EU finance the transition of poorer households to renewable energy sources?,Agree,Neutral,Disagree
Support for kindergartens and childcare groups,Should the EU support the development of kindergartens and childcare groups?,Agree,Neutral,Disagree
Financing retraining programs,Should the EU finance programs for retraining workers?,Agree,Neutral,Disagree
Adding EU-related topics to school curricula,Should school curricula be supplemented with topics related to the EU?,Agree,Neutral,Disagree
Ban on glyphosate pesticides,Should the EU completely ban pesticides containing glyphosate?,Agree,Neutral,Disagree
Stop subsidies for intensive livestock farming,Should the EU stop subsidizing intensive livestock farming?,Agree,Neutral,Disagree
EU Common Army,The EU should have a common army.,Agree,Neutral,Disagree
Public Access to Company Data,Should commercial data of companies in all EU countries be made available to the public?,Agree,Neutral,Disagree
Ecological Farming Support,The EU should pay more money to farmers who use ecological practices.,Agree,Neutral,Disagree
Sanctions against Russia,The EU should maintain sanctions against Russia.,Agree,Neutral,Disagree
Joint Military Procurement,EU member states should jointly purchase military equipment.,Agree,Neutral,Disagree
Facial Recognition Ban,Should the EU ban automatic facial recognition in public places?,Agree,Neutral,Disagree
Ban on Funding Coal-Fired Power Plants,Should the financing of coal-fired power plants from public funds be banned?,Agree,Neutral,Disagree
European Social Security Number,The EU should introduce a European social security number.,Agree,Neutral,Disagree
Penalties for Unequal Pay,The EU should penalize companies for unequal pay between women and men.,Agree,Neutral,Disagree
Capping the Retirement Age,Should the EU cap the retirement age?,Agree,Neutral,Disagree
Abolition of unpaid internships,The EU should abolish unpaid internships in vocational training.,,,
Ban on export of live farm animals,There should be a ban on exporting live farm animals outside the EU.,,,
Higher import duties on Chinese electric cars,Import duties on Chinese electric cars should be increased.,,,
Easier relocation for skilled workers,It should be easier for qualified workers to move to the European Union.,,,
Third gender category in passports,The EU should recommend that member states add a third gender category to their passports.,,,
Environmental impact labeling,All food products sold in the EU should have a label indicating their environmental impact.,,,
Investments in sustainable technologies,More public money should be provided for investments in sustainable technologies.,,,
Restricted social assistance,Access to social assistance should be limited for citizens of other EU states living in a given country.,,,
Strengthening OLAF powers,"The EU should strengthen the powers of the independent authority (OLAF) to fight fraud, corruption, and money laundering.",,,
Ukraine's EU membership,Ukraine should become a member of the European Union.,,,
Election of the President of the Commission,The President of the European Commission should be directly elected by EU citizens.,,,
Erasmus+ scholarships,Students with fewer resources should be able to receive a higher Erasmus+ scholarship than students with more means.,,,
