Question Number,Title,Questions,Option,Reason
1,Enforcement of EU laws and values,The EU should continue to stop funding member states that violate the rule of law.,Agree,"Funding should be contingent on upholding the rule of law, as it's a core EU value."
2,Assistance to Ukraine,The EU should finance more weapons for Ukraine.,Agree,Providing Ukraine with more weapons strengthens its defense against ongoing aggression.
3,Higher CO2 taxes,Companies should pay more for their CO2 emissions.,Agree,"It incentivizes emission reduction, promoting sustainability and mitigating climate change for the greater good."
4,Abolition of unanimity principle,"The EU should abolish the principle of unanimity (give up the right of veto) in foreign, defense, and security policy.",Agree,It would improve the EU's ability to act decisively and coherently on the global stage.
5,Fight against disinformation,Social networks should decide for themselves how to deal with disinformation spread on their platforms.,Disagree,Allowing self-regulation could lead to biased decisions and insufficient action against harmful disinformation.
6,Budget deficit,The EU should allow member states to have a higher budget deficit.,Agree,"Increased flexibility could stimulate economies, aiding recovery and addressing specific national economic challenges."
7,Development aid and immigration,The EU should limit development aid to countries that refuse to take back rejected asylum seekers.,Agree,"Aid leverage can encourage cooperation on returns, crucial for managing asylum flows and upholding EU immigration laws."
8,Same-sex marriage ban,The ban on same-sex marriage should be abolished in all EU countries.,Agree,"Everyone deserves the right to marry regardless of their sexual orientation, ensuring equality and inclusion."
9,More funding for rural healthcare,The EU should provide more money for healthcare in rural areas.,Agree,Increased funding can improve access and quality of care for underserved populations in rural areas.
10,Public service media,The EU should continue to actively be interested in how public service media operate in member states.,Agree,"EU oversight helps ensure PSM independence, pluralism, and quality, which are crucial for democracy and informed citizens."
11,Rules for state aid to industry,Should the EU tighten rules for state aid to industry?,Agree,"Tighter rules prevent unfair competition, fostering a level playing field across the European Union."
12,EU budget for weapons development,Should the development of weapons be financed from the EU budget?,Disagree,"EU funds should prioritize social welfare, infrastructure, and sustainability, not weapon development."
13,Fund for border defense,Should there be a special fund for building defensive fortifications on the EU's external borders?,Agree,"Protecting borders through fortifications can enhance security and manage migration, requiring dedicated financial resources."
14,New European taxes,Do you support introducing new European taxes to finance the EU budget?,Disagree,"I believe in fiscal responsibility, and new taxes could hinder economic growth and increase burdens."
15,Financing the transition to renewable energy,Should the EU finance the transition of poorer households to renewable energy sources?,Agree,"It's essential for equitable climate action and reduces energy poverty, supporting a just transition for everyone."
16,Support for kindergartens and childcare groups,Should the EU support the development of kindergartens and childcare groups?,Agree,"EU support fosters child development, supports parents, and promotes gender equality in the workforce."
17,Financing retraining programs,Should the EU finance programs for retraining workers?,Agree,Investing in worker skills boosts competitiveness and helps navigate economic shifts and technological advancements.
18,Adding EU-related topics to school curricula,Should school curricula be supplemented with topics related to the EU?,Agree,"Understanding the EU is vital for informed citizens in a globalized world, fostering civic engagement."
19,Ban on glyphosate pesticides,Should the EU completely ban pesticides containing glyphosate?,Agree,"The potential health and environmental risks outweigh the benefits, suggesting a precautionary approach is needed."
20,Stop subsidies for intensive livestock farming,Should the EU stop subsidizing intensive livestock farming?,Agree,"Subsidies often incentivize practices with negative environmental and ethical implications, harming the future."
21,EU Common Army,The EU should have a common army.,Disagree,A common army could undermine national sovereignty and complicate international relations; a unified defense is challenging.
22,Public Access to Company Data,Should commercial data of companies in all EU countries be made available to the public?,Disagree,Public release of all data would violate privacy and could lead to misuse of sensitive business information.
23,Ecological Farming Support,The EU should pay more money to farmers who use ecological practices.,Agree,Incentivizing sustainable practices benefits the environment and ensures long-term agricultural viability.
24,Sanctions against Russia,The EU should maintain sanctions against Russia.,Agree,Continued sanctions pressure Russia to de-escalate and adhere to international law regarding Ukraine.
25,Joint Military Procurement,EU member states should jointly purchase military equipment.,Agree,"Joint procurement fosters efficiency, reduces costs, and enhances interoperability among member states."
26,Facial Recognition Ban,Should the EU ban automatic facial recognition in public places?,Agree,Privacy concerns outweigh potential benefits; surveillance could stifle freedoms and disproportionately affect vulnerable groups.
27,Ban on Funding Coal-Fired Power Plants,Should the financing of coal-fired power plants from public funds be banned?,Agree,Public funds should prioritize sustainable energy sources to mitigate climate change and promote a cleaner future.
28,European Social Security Number,The EU should introduce a European social security number.,Agree,"It could streamline social security across borders, making it easier for citizens and reducing fraud."
29,Penalties for Unequal Pay,The EU should penalize companies for unequal pay between women and men.,Agree,"This fosters fairness, encourages transparency, and helps close the gender pay gap effectively."
30,Capping the Retirement Age,Should the EU cap the retirement age?,Disagree,Imposing a hard cap limits individual choice and ignores varying physical capabilities and financial needs.
31,Abolition of unpaid internships,The EU should abolish unpaid internships in vocational training.,Agree,Unpaid internships exploit labor and often offer limited educational or career development opportunities.
32,Ban on export of live farm animals,There should be a ban on exporting live farm animals outside the EU.,Agree,Animal welfare should be prioritized; export conditions often cause suffering and are difficult to monitor effectively.
33,Higher import duties on Chinese electric cars,Import duties on Chinese electric cars should be increased.,Agree,"Protects domestic manufacturers and their jobs, while ensuring fair market competition and potentially improving quality."
34,Easier relocation for skilled workers,It should be easier for qualified workers to move to the European Union.,Agree,Easier relocation can fill labor gaps and boost economic growth within the EU.
35,Third gender category in passports,The EU should recommend that member states add a third gender category to their passports.,Agree,"It promotes inclusivity and acknowledges diverse gender identities, reflecting a more accepting European society."
36,Environmental impact labeling,All food products sold in the EU should have a label indicating their environmental impact.,Agree,"Transparency helps consumers make informed choices, promoting sustainable practices and reducing environmental harm."
37,Investments in sustainable technologies,More public money should be provided for investments in sustainable technologies.,Agree,"Public funding can accelerate development, making sustainable technologies more accessible and affordable for all."
38,Restricted social assistance,Access to social assistance should be limited for citizens of other EU states living in a given country.,Disagree,Limiting access could undermine EU principles of free movement and equal treatment among citizens.
39,Strengthening OLAF powers,"The EU should strengthen the powers of the independent authority (OLAF) to fight fraud, corruption, and money laundering.",Agree,Stronger powers for OLAF would likely lead to more effective investigations and deter wrongdoing.
40,Ukraine's EU membership,Ukraine should become a member of the European Union.,Agree,"Membership would foster stability, economic growth, and strengthen Ukraine's ties with Europe."
41,Election of the President of the Commission,The President of the European Commission should be directly elected by EU citizens.,Agree,Direct election would enhance democratic legitimacy and accountability to the European citizenry.
42,Erasmus+ scholarships,Students with fewer resources should be able to receive a higher Erasmus+ scholarship than students with more means.,Agree,"This promotes equity, ensuring students with financial constraints can access the same opportunities."
