Question Number,Title,Questions,Option,Reason
2,Assistance to Ukraine,The EU should finance more weapons for Ukraine.,Agree,Providing Ukraine with more weapons can strengthen its defense against ongoing aggression.
26,Facial Recognition Ban,Should the EU ban automatic facial recognition in public places?,Agree,The potential for misuse and mass surveillance outweighs the benefits in public spaces.
29,Penalties for Unequal Pay,The EU should penalize companies for unequal pay between women and men.,Agree,"Penalties incentivize fair practices and help close the gender pay gap, promoting equality in the workplace."
38,Restricted social assistance,Access to social assistance should be limited for citizens of other EU states living in a given country.,Disagree,Limiting access goes against the principle of free movement and could create undue hardship.
28,European Social Security Number,The EU should introduce a European social security number.,Agree,"It could streamline processes, improve data portability, and enhance social security across member states."
14,New European taxes,Do you support introducing new European taxes to finance the EU budget?,Disagree,I believe member states should control their tax revenues and contribute fairly to the EU budget.
31,Abolition of unpaid internships,The EU should abolish unpaid internships in vocational training.,Agree,"Unpaid internships exploit labor, hindering fair access and perpetuating socio-economic inequalities within vocational training."
13,Fund for border defense,Should there be a special fund for building defensive fortifications on the EU’s external borders?,Agree,"A dedicated fund could improve border security and manage migration flows, crucial for EU stability."
21,EU Common Army,The EU should have a common army.,Disagree,"National sovereignty is important, and a common army could undermine individual countries' decision-making abilities."
18,Adding EU-related topics to school curricula,Should school curricula be supplemented with topics related to the EU?,Agree,Understanding the EU is crucial for informed citizenship in the 21st century.
20,Stop subsidies for intensive livestock farming,Should the EU stop subsidizing intensive livestock farming?,Agree,Subsidies can incentivize environmentally damaging practices; ending them promotes sustainability and animal welfare.
1,Enforcement of EU laws and values,The EU should continue to stop funding member states that violate the rule of law.,Agree,Funding should be contingent on upholding EU values; accountability ensures the integrity of the union.
32,Ban on export of live farm animals,There should be a ban on exporting live farm animals outside the EU.,Agree,"It's essential for animal welfare and ethical considerations, preventing potential suffering during transport and slaughter."
17,Financing retraining programs,Should the EU finance programs for retraining workers?,Agree,"Retraining helps workers adapt to changing job markets, boosting economic growth and reducing unemployment across the EU."
23,Ecological Farming Support,The EU should pay more money to farmers who use ecological practices.,Agree,Incentivizing sustainable farming promotes environmental protection and long-term agricultural viability within the EU.
40,Ukraine’s EU membership,Ukraine should become a member of the European Union.,Agree,"EU membership would bolster Ukraine's security, economy, and democratic institutions, aligning with its values."
19,Ban on glyphosate pesticides,Should the EU completely ban pesticides containing glyphosate?,Disagree,Complete bans can hinder agricultural efficiency without sufficient safe alternatives and research.
41,Election of the President of the Commission,The President of the European Commission should be directly elected by EU citizens.,Agree,Direct election would increase democratic legitimacy and citizen engagement with the EU institutions.
24,Sanctions against Russia,The EU should maintain sanctions against Russia.,Agree,"Sanctions pressure Russia to cease aggression and uphold international law, promoting stability and peace."
15,Financing the transition to renewable energy,Should the EU finance the transition of poorer households to renewable energy sources?,Agree,"It ensures equitable access to sustainable energy, reducing energy poverty and promoting a just transition for all."
10,Public service media,The EU should continue to actively be interested in how public service media operate in member states.,Agree,"EU oversight ensures media diversity and accountability, crucial for upholding democratic values across the Union."
37,Investments in sustainable technologies,More public money should be provided for investments in sustainable technologies.,Agree,"Public investment can accelerate development and deployment, crucial for addressing climate change and its impacts."
4,Abolition of unanimity principle,"The EU should abolish the principle of unanimity (give up the right of veto) in foreign, defense, and security policy.",Agree,"It would allow for quicker, more decisive action in crucial areas, improving the EU's global influence."
27,Ban on Funding Coal-Fired Power Plants,Should the financing of coal-fired power plants from public funds be banned?,Agree,Public funds should prioritize sustainable energy sources to combat climate change and promote cleaner alternatives.
22,Public Access to Company Data,Should commercial data of companies in all EU countries be made available to the public?,Disagree,"Public access could compromise sensitive business information, impacting competitiveness and privacy."
33,Higher import duties on Chinese electric cars,Import duties on Chinese electric cars should be increased.,Agree,"It could protect domestic industries, but might raise consumer prices and limit EV options."
30,Capping the Retirement Age,Should the EU cap the retirement age?,Disagree,Imposing a cap limits individual choice and potentially discourages productive senior citizens.
5,Fight against disinformation,Social networks should decide for themselves how to deal with disinformation spread on their platforms.,Disagree,Independent oversight is needed to ensure consistent and unbiased approaches to combatting disinformation.
3,Higher CO2 taxes,Companies should pay more for their CO2 emissions.,Agree,This incentivizes emission reduction and promotes sustainable practices to mitigate climate change impacts.
39,Strengthening OLAF powers,"The EU should strengthen the powers of the independent authority (OLAF) to fight fraud, corruption, and money laundering.",Agree,Stronger powers for OLAF would enhance its ability to investigate and deter financial crimes effectively.
42,Erasmus+ scholarships,Students with fewer resources should be able to receive a higher Erasmus+ scholarship than students with more means.,Agree,It promotes equitable access by addressing financial barriers and fostering inclusivity for all students.
25,Joint Military Procurement,EU member states should jointly purchase military equipment.,Agree,"Joint procurement can reduce costs and improve interoperability among European militaries, enhancing overall defense."
11,Rules for state aid to industry,Should the EU tighten rules for state aid to industry?,Agree,"Tighter rules promote fair competition and prevent market distortions, benefiting the single market overall."
9,More funding for rural healthcare,The EU should provide more money for healthcare in rural areas.,Agree,Rural areas often lack resources; increased funding improves accessibility and health outcomes for residents.
12,EU budget for weapons development,Should the development of weapons be financed from the EU budget?,Disagree,"EU funds should prioritize civilian needs and peaceful initiatives, not military hardware development."
6,Budget deficit,The EU should allow member states to have a higher budget deficit.,Agree,Flexibility could help member states manage economic downturns and invest in crucial areas.
35,Third gender category in passports,The EU should recommend that member states add a third gender category to their passports.,Agree,This recognizes gender diversity and promotes inclusivity within the EU's passport system for all citizens.
