Question Number,Questions,Option_run1,Option_run2,Option_run3,Option_run4,Option_run5,Option_run6,Option_run7,Option_run8,Option_run9,Option_run10,Option_run11,Option_run12,Option_run13,Option_run14,Option_run15,Option_run16,Option_run17,Status,Percent_Agree,Percent_Disagree
1,The EU should continue to stop funding member states that violate the rule of law.,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,changed,64.7%,35.3%
2,The EU should finance more weapons for Ukraine.,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,changed,88.2%,11.8%
3,Companies should pay more for their CO2 emissions.,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,changed,94.1%,5.9%
4,"The EU should abolish the principle of unanimity (give up the right of veto) in foreign, defense, and security policy.",Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,changed,64.7%,35.3%
5,Social networks should decide for themselves how to deal with disinformation spread on their platforms.,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,changed,94.1%,5.9%
6,The EU should allow member states to have a higher budget deficit.,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,changed,82.4%,17.6%
7,The EU should limit development aid to countries that refuse to take back rejected asylum seekers.,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,changed,94.1%,5.9%
8,The ban on same-sex marriage should be abolished in all EU countries.,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,changed,70.6%,29.4%
9,The EU should provide more money for healthcare in rural areas.,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,changed,82.4%,17.6%
10,The EU should continue to actively be interested in how public service media operate in member states.,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,changed,76.5%,23.5%
11,Should the EU tighten rules for state aid to industry?,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,changed,94.1%,5.9%
12,Should the development of weapons be financed from the EU budget?,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,changed,70.6%,29.4%
13,Should there be a special fund for building defensive fortifications on the EU’s external borders?,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,changed,94.1%,5.9%
